,idf_weight,fakeness_score
again,-0.11370361501207636,0.01556527170383104
until,-0.14860964230841847,-0.07171901581558326
actual,-0.1275309257777852,-0.16115459705178037
far,-0.1759848555761177,-0.1706226818824903
yet,-0.1602633876747391,0.02211069357631623
children,0.31358808758401574,0.37883713585563217
small,-0.024321812145065666,-0.5494973284454978
light,0.22161971294586746,-0.5024003734941087
analysi,0.5357674340702002,-0.18194652370449615
top,-0.05715508050105975,-0.15702403774520413
cours,-0.10094879832821738,-0.010439119650699324
video,0.07168936089184509,-0.009037821492728693
social,0.19089419709871294,-0.10078444966086508
full,-0.15342470208346062,-0.3153200750201671
im,0.17814628538347899,-0.16554370801388618
energi,0.48155812608542264,-0.9266222807201879
away,-0.09058996619436188,0.03200354386097293
ever,-0.09968242577313179,-0.08597360252792963
2,0.030851036817115592,-0.31709447907915544
live,-0.031130382196561907,0.08208290898309167
econom,0.3185262337467866,-0.33846409112553855
least,-0.11245330227104933,-0.026142670473388918
onc,-0.11939950624133394,-0.07014855114652163
enough,-0.0704771028038355,0.07740855935800006
abl,-0.03866286527739184,-0.07520005420748965
white,0.2989182963778519,0.4204047259854067
less,-0.04020100174414744,-0.11111226009642972
histori,0.09165486860171426,0.14013898718614448
key,0.22662460315086552,-0.2662282256878985
past,-0.07531153329763506,0.05492819452269471
sever,-0.08839541876179144,-0.014184191163069682
lot,0.01875477648364768,-0.3244290710664731
read,-0.0392399437376033,-0.19725762532288849
noth,-0.028412514436677996,-0.15385963642661282
known,-0.010959722236335097,-0.001922616313649761
2016,0.25100304819328917,-0.17525197764654143
10,0.008415309601347041,-0.29199223520746964
often,0.013064976329436973,0.09963153880517273
feel,0.17100186691126348,-0.02351392152786047
left,0.031057324465342737,0.09122608068956839
futur,0.09012166346520384,-0.08911235508849047
given,0.016718986606874008,0.09879422292718965
oil,0.908769090475309,-0.8647189623400318
avail,-0.012343504531238348,-0.34335075625518197
bill,0.4203452706376161,-0.0170309491970958
act,0.30840192026612095,-0.04647948401521329
seen,0.01164757034961687,0.04046103887189667
second,0.07988771968479523,-0.17535437736585635
appear,-0.22667331436445523,-0.695378294750276
come,-0.03962447778321748,-0.23026743984099096
jesu,1.115900878805652,0.7450104618568794
nuclear,1.0805170003990179,0.31443401065030696
product,0.40793816359056245,-0.9999927668413827
truth,0.2855244018979815,0.29253917262300444
financi,0.46010082427437965,-0.42192389150978893
got,0.11225086636258035,0.03704883106695367
though,0.013470318747990368,0.12142508144325026
person,0.191620659742053,-0.028467527226364697
right,0.3318150979458863,0.20341621955723932
sure,0.039135916748597926,-0.3066166869445014
depart,0.34218049778827986,0.045946705282531086
old,0.1695790879844773,-0.07126954785778017
3,0.13099746288071432,-0.8901141513589681
follow,0.04163482477728147,-0.13659962073123877
among,0.04121790621628202,0.12134300046545343
doesnt,0.06036590528644252,-0.09089292978572905
process,0.17456769582152754,-0.1756760247444219
across,0.04288662440247205,-0.12326787248635163
upon,0.2610790906572469,-0.45303518669286713
mind,0.21366362811507827,-0.5854153582715342
true,0.16367253582222369,0.11348880568377284
cant,0.07642758344998463,-0.040374780180889136
everyth,0.11921155550518005,-0.048634246455399044
intern,0.2991880126379831,0.2981451777833526
medic,0.6592869630718431,-0.331096577614166
came,0.10622755809717725,0.1872909746884608
russia,0.7252159300854508,0.21916787313159825
els,-0.10491841794703322,-0.5129721543515362
open,0.19769512686062227,-0.09192532248191865
death,0.4197364611457362,0.08105362187793208
along,0.038512164233364496,-0.32977130984618797
done,0.08292519137426575,0.088945264253798
current,0.1438472759981583,-0.2864922221518027
shall,1.2085834168836194,-0.8838351048546984
tax,0.9298320024408225,-0.9872857390780079
revenu,1.1691849788402722,-0.9999984842010833
2017,0.34641348751560397,-0.24362766436028205
clinton,1.0400981276022274,0.17374357515300898
church,0.908769090475309,0.9965615919031365
get,0.11628665579137966,-0.2574922497130575
work,0.11808558141873726,-0.0014748721906495676
area,0.28872261362702833,-0.4032354734389112
name,0.2828670167940125,0.059740366195928374
abov,0.17671331243640206,-0.9759127757272245
south,0.5111256687749928,-0.47684198971543323
technolog,0.4022403133525499,-0.8114255193939143
evid,0.39955262135656194,0.59951751738642
whether,0.1438472759981583,0.33552255400919173
daili,0.21763375814061228,-0.20756772283929137
member,0.31249402549627453,0.30706471204261754
didnt,0.22938800741153856,0.2520508599608626
rate,0.569125865714199,-0.983590090456593
christ,0.9649034117948483,0.382600465019201
gold,1.1437561088373884,-0.9718519957294095
almost,0.11449096048719323,-0.011084021835952695
provid,0.11471524613833758,-0.16465602269349633
level,0.2699469404289082,-0.6665503312257803
anyth,0.12894762842725335,-0.16099151551624502
space,0.660834891092699,-0.7922722415851343
took,0.15266178877583933,0.17410935525361637
taken,0.1371722983994631,-0.009139735349336653
whole,0.21713662905080847,-0.19802932988979394
court,0.7600992786992447,0.813421153027466
local,0.32847628958005365,0.03053562209615901
further,0.16226013945739443,0.022101915605441835
month,0.20160224032648202,0.13082335816601454
higher,0.4243115926545436,-0.9286369357708091
matter,0.2020917046175981,0.014647867846123042
valu,0.5488390659642068,-0.456664889865778
thought,0.18245756604279306,-0.04279490168195044
experi,0.30053768622190785,-0.0758858848249564
washington,0.43198363666897316,0.8139970702704318
school,0.5460729081200502,0.7085449789559035
men,0.571956623770222,0.00031349767699029307
pleas,0.1986704750152884,-0.6728562163258315
john,0.4718934137642033,0.31431233871383935
later,0.20872302865297954,0.4814776255602511
below,0.20995589201063655,-0.9881745936244675
due,0.2321590692411648,-0.4442378704665081
simpli,0.21763375814061228,0.04267929692103367
four,0.2626383020123494,0.034264807533188835
care,0.4249231947652874,0.2002673329455844
ago,0.15826914909100637,0.1825651497233085
rather,0.2126735535310954,0.05646363459070414
former,0.3669850537903176,0.7373454142450995
exampl,0.21341601755569903,-0.15738768346609755
clear,0.1879936125314099,0.24720948272740473
5,0.2678533017064946,-0.6174673801668612
went,0.28952376733115204,-0.013138703067972157
offic,0.44220170922417157,0.3540978013699685
stop,0.24230088685590428,0.027089368507135836
form,0.26081945829521097,-0.32115278267545055
move,0.30486892387460224,-0.1437079417237147
togeth,0.2571916654537823,0.042089902821921044
themselv,0.25693304030363123,0.08355731723546644
cannot,0.30812970772088616,-0.023458313304030587
20,0.25100304819328917,-0.15371330572793185
special,0.39716961108405735,0.13779407430691903
per,0.5705402430936485,-0.7362979419828839
event,0.4835023281171004,-0.1449613619767921
action,0.29246683452396016,-0.07320989834821001
bad,0.31058229233811363,-0.4267627709019267
servic,0.4166979610412925,0.2666790113779749
air,0.6371071696772727,-0.2957733911404946
